mattei is tiresomely grave and long winded , as if circularity itself indicated profundity	0
he fails to win eve 's heart and is consequently dejected	1
viewers of the ring are more likely to remember the haunting images than the plot holes	0
he was arrested for dealing drugs , he spent five years in jail and was banned from france for two years	1
leviticus , a navy veteran returns home after serving his country to find the war at home is harder than anything he 's ever encountered , but exactly what 38 who is he fighting for \?	1
seeing as the film lacks momentum and its position remains mostly undeterminable , the director 's experiment is a successful one	0
a great looking , trippy adventure i ca n't wait for the next one	0
a thoughtful , moving piece that faces difficult issues with honesty and beauty	0
this is so de palma if you love him , you 'll like it if you do n't well , skip to another review	0
an entire film about researchers quietly reading dusty old letters	0
on november 12th 2001 , aspiring documentary filmmaker griffin mack began to capture the story of this elusive rising star	1
not really bad so much as distasteful we need kidnapping suspense dramas right now like we need doomsday thrillers	0
yet this highly traditional world is facing profound changes due to the postwar influx of foreign images and ideas in japanese culture	1
soon it 's not just harry who is worried about survival , as dreadful things begin to happen at hogwarts	1
he 's sixteen and lives with his younger sister , mother cheryl and her boyfriend john , in a modest house in bakersfield , california	1
the attorney leaves the scene of the accident and strands the salesman , causing him to miss his custody hearing	1
tim plans to spend his 21st birthday at his scottish estate with eight of his closest friends	1
a french foreign exchange student , named genevieve , comes to a small town in texas to attend a local high school where she shacks up with the school 's popular head cheerleader , starla , and her parents	1
a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal	0
the film creates an effective sense of time and place , though sheridan is not above hitting us over the head with obvious stylistic contrivances	0
there 's an energy to y tu mam tambi n much of it comes from the brave , uninhibited performances by its lead actors	0
a quirky family parks its trailer on a texas desert and tries to build the golf course of the father 's dreams	1
it 's all about love is the story of two lovers and their attempts to save their relationship in a near future world on the brink of cosmic collapse	1
every once in a while , a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most the fanboy	0
director charles stone iii applies more detail to the film 's music than to the story line what 's best about drumline is its energy	0
as the investigation continues , catherine is forced to choose between her past passions and new possibilities , even as handler is discovering surprising new facts about embry and his possible connection to another disappearance from campus	1
a film that is a portrait of grace in an imperfect world	0
when the flames of jealousy are fanned by an oddball drifter \( walken \) who imposes himself into the situation , tim 's life careens wildly out of control	1
and he also has to deal with the daughter 's older brother , who 's on the run from local drug dealers	1
the question is , will their lives change forever with the riches that come along with professional sports , or will they be destined to live a life in their home country , asking forever , what if \?	1
the film is hampered by its predictable plot and paper thin supporting characters	0
in the end , the movie bogs down in insignificance , saying nothing about kennedy 's assassination and revealing nothing about the pathology it pretends to investigate	0
with ichi the killer , takashi miike , japan 's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman	0
despite the sympathetic overtures , rachel is convinced things are n't what they seem and suspects her baby has been abducted	1
audiences can be expected to suspend their disbelief only so far and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school	0
besides a few survivors , the only two who know about freddy 's plans are teenagers lori \( monica keena \) and will \( jason ritter \)	1
gigli , a lowly and inept hitman , is assigned a job by the mob to kidnap a mentally retarded brother of a california district attorney	1
but what exactly is good and waht exactly is evil \?	1
everybody , especially the police captain , refuses to believe nick 's story , and soon the harbor will be filled with boats for the 4th of july celebrations	1
one of the film 's most effective aspects is its tchaikovsky soundtrack of neurasthenic regret	0
the quest is hope and the passions that drive us in this search	1
the bay of love and sorrows is a haunting modern tragedy set on the rural shores of new brunswick 's bay of miramichi	1
racial bigotry , violence and corruption thrive in places like marquezas	1
a comedy about misfits in which a veterinarian becomes involved with a client , whose wife has begun acting like a dog	1
this thing works on no level whatsoever for me	0
set in the early 1970 's , this is the tale of a young man whose fiancee has been killed , but who finds himself falling for another woman even while he is still living with his fiancee 's grieving parents and being drawn into the legal battle to bring her killer to justice	1
perhaps even the slc high command found writer director mitch davis 's wall of kitsch hard going	0
the story goes that she ca n't go in the light , and if you wake up and see her , she 'll kill you	1
vicious , the future descendant of james and jessie of team rocket , travels back in time to wreak havoc , and it 's up to young ash , pikachu and friends to stop him	1
handsome , charming and undeniably self absorbed , he treats her more like a nanny than a harvard law grad and can barely choose a tie without her help	1
with the candy like taste of it fading faster than 25 cent bubble gum , i realized this is a throwaway movie that wo n't stand the test of time it 's a trifle	0
the following things are not at all entertaining the bad sound , the lack of climax and , worst of all , watching seinfeld \( who is also one of the film 's producers \) do everything he can to look like a good guy	0
he also does n't realize that he accidentally left one of his shoes there	1
n o matter how much good will the actors generate , showtime eventually folds under its own thinness	0
i 've had more interesting and , dare i say , thematically complex bowel movements than this long on the shelf , point and shoot exercise in gimmicky crime drama	0
limps along on a squirm inducing fish out of water formula that goes nowhere and goes there very , very slowly	0
cho , a clarion voice of reason in an unreasonable world , has a rare comic brilliance , incisiveness and relatability	0
the action of the story derives from the collision of these two competing worlds	1
in capturing the understated comedic agony of an ever ruminating , genteel yet decadent aristocracy that can no longer pay its bills , the film could just as well be addressing the turn of the 20th century into the 21st	0
for the first time in several years , mr allen has surpassed himself with the magic he 's spun with the hollywood empress of ms leoni 's ellie	0
dong does n't demonize the conservative christians he talks to , but he does n't have to	0
it takes a really long , slow and dreary time to dope out what tuck everlasting is about so here it is it 's about a family of sour immortals	0
adapted from a monologue in his blue jam radio series , chris morris' first short film is a haunting black comedy about a man who no longer uses his name because he 's decided he 's ceased to deserve one , and a dog called rothko who says he is the man 's lawyer	1
and while ingrid 's gift is to give astrid the power to survive , astrid 's gift is to teach her mother about love	1
one of the film 's strongest achievements is the way it manages to get so much mileage out of such a simple concept as spirals	0
robert de niro plays a therapist who is an obsessive compulsive agoraphobic and has n't left his apartment in six years	1
he presents himself to be a rich boy , fool her and romance with her	1
and that 's what you get when sampling the wonderful idiosyncrasies in this love story on espresso	1
he tries to distract charlie any way he can	1
there is simply not enough of interest onscreen to sustain its seventy minute running time	0
marjorie standiford sits on oklahoma 's death row , hours away from execution , speaking into a tape recorder , telling her life story	1
delivers few moments of inspiration amid the bland animation and simplistic story	0
french director helene angel 's dark but deftly handled fable about familial violence has a terrifying , fairy tale atmosphere that 's in perfect keeping with its unique point of view	0
in his flight he encounters sonya , a young bosnian mother desperately trying to return home to see her son	1
the funk brothers seem to have hardly missed a beat	0
a savage john waters like humor that dances on the edge of tastelessness without ever quite falling over	0
nachtwey clears the cynicism right out of you he makes you realize that deep inside righteousness can be found a tough beauty	0
the story is risen out of the conflicts between the white anglo saxon natives and the irish immigrants coming into the five points	1
massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner \( and ultimately the victim \) of history	0
the farmer whom the barn belongs to is distraught and ca n't cope from the intruder 's power of articulations	1
it wo n't be easy , but if he can handle bird eating spiders and venomous snakes without getting bitten , gun wielding agents should n't be too much of a problem	1
it takes us finally to the comedy clubs that for so many years we saw only at the beginning and end of seinfeld	0
likely to give up their first born before they give up their lodge , the crowd puts their heads together and come up with not one , but three methods of raising the money	1
blade , whistler \( yes , he 's back \) and an armory expert named scud are curiously summoned by the shadow council	1
must see viewing for anyone involved in the high tech industry others may find it migraine inducing , despite moore 's attempts at whimsy and spoon feeding	0
jim , stifler and finch return in the last american pie movie	1
once she lets her love depraved leads meet , denis' story becomes a hopeless , unsatisfying muddle	0
between bursts of automatic gunfire , the story offers a trenchant critique of capitalism	0
'insignificant other' , a hitchcockian version of sex and the city , follows the intersecting lives of two couples having extramarital affairs , who live lives of paranoia , wondering if their significant other has found out	1
to pull him out of his now dangerous financial predicament will turns to his wealthy in laws , spinning a myriad of desperate lies , half truths and deceptions	1
it feels like an after school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes	0
the film follows haris , a hip , handsome afghan american artist who shows his work at a downtown manhattan art gallery	1
may take its sweet time to get wherever it 's going , but if you have the patience for it , you wo n't feel like it 's wasted yours	0
depending on what you read witnesses say his penis was from 12 to 14 inches long	1
isabel is a naive provincial lass who works as an indigenous fabric weaver while clara is the liberated city girl	1
it 's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster boy lil' bow wow	0
a blind girl gets a cornea transplant so that she would be able to see again	1
american chai encourages rueful laughter at stereotypes only an indian american would recognize and the lesson , in the end , is nothing new	0
the harrowing rescue of the young woman opens the door to a dark history hidden below the surface , revealing the true identity of the killer and answering the mystery of who killed jack 's daughter	1
ted ca n't turn the ladies heads like he used to none of the scams work	1
behind the snow games and lovable siberian huskies \( plus one sheep dog \) , the picture hosts a parka wrapped dose of heart	0
the only way around this is using illegal simulated identity implants \( sims \)	1
sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours	0
but mathayus ends up getting much more than he bargained for	1
is the history of two workers of the trains , a professor and a little child that decide to sequester an old train that has been sold to usa for a movie production	1
the more dreams max has , the closer the fbi are in tracking down the kidnapper , but also as the case continues max discoveres the lies , corruption , and deceit of the government	1
a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor	0
and in the dogs , she finds lost pieces of herself as she fumbles with the leash to her own life struggling to hold on as it pulls her toward a brighter future before her past catches up with her	1
but later that year she was gunned down by assasins hired by the same criminal drug lords she exposed	1
a librarian begins a passionate affair with a mysterious woman who walks into his library	1
lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel leave these flowers unpicked they 're dead on the vine	0
henrik meets the mysterious bag lady , who gives him a pair of magic shoes that make him dance like a dream	1
when they get there , strange happenings invade the school	1
through trial and failures , she teaches him to use the power of eternal souls to solve both his professional and personal problems	1
in 1949 , laura brown , a pregnant housewife , is planning a party for her husband , but she ca n't stop reading the novel 'mrs	1
meanwhile , obi wan kenobi continues to train the young jedi anakin skywalker , who fears that the jedi code will forbid his growing romance with amidala	1
each weekend they come back with nothing but a hangover	1
schaefer 's determination to inject farcical raunch drowns out the promise of the romantic angle	0
77 minutes of pokemon may not last 4ever , it just seems like it does my only wish is that celebi could take me back to a time before i saw this movie and i could just skip it	0
kirshner and monroe seem to be in a contest to see who can out bad act the other \( kirshner wins , but it 's close \)	0
eventually , he builds a successful career as a us attorney	1
franco agonizaba y el pr 237 ncipe , jefe de estado en funciones , se encontraba en una posici 243 n dif 237 cil para afrontar un problema fundamental	1
dan tort , a troubled genius attempts to build a magnetic engine while running from the deamons of his past , and trying to stay a couple steps ahead of the government and corperate kings	1
pipe dream does have its charms the leads are natural and lovely , the pace is serene , the humor wry and sprightly	0
as jake and sam bicker throughout their trek across majestic india , they find kabir , a museum curator who possesses an artifact which he claims can produce the musical tone required to open the door to the temple	1
birthday girl does n't try to surprise us with plot twists , but rather seems to enjoy its own transparency	0
significant for the chilling moments when the children echo the very sentiments that continue to fuel the middle east conflict	0
waiting for godard can be fruitful 'in praise of love' is the director 's epitaph for himself	0
this is the story of johnny , a struggling blues musician estranged from both his family and the country roots he left behind	1
those who want to be jolted out of their gourd should drop everything and run to ichi	0
a film that perfectly distills the relationship between pop music and teens searching for identity	0
this painter 's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray	1
the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year	0
with the support of her best friend wilma watson and their draft dodging companion will bacon , emily is able to stand by her convictions in a household dominated by the standards of a salt of the earth father and an unconditionally loving mother	1
if you are into splatter movies , then you will probably have a reasonably good time with the salton sea	0
if all goes according to plan , lizzy 's baby will be born a hyper intelligent consumer , ready to plug and play in our dollar driven world	1
tam 225 s is a young , budapest based director of video clips and commercials who dreams of directing his first feature film with the title 'the guilty city'	1
set in the colourful world of horseracing , horseplay follows the chaotic life of a wannabe horse trainer as he deals with the turf , the ladies and everyone else out to get him	1
used to living in poverty , it seemed impossible for cass and cary to have a comfortable and bountiful life until doqa gracia comes to bring them into her home	1
an undistinguished attempt to make a classic theater piece cinematic	0
there are times when a rumor of angels plays like an extended episode of touched by an angel a little too much dancing , a few too many weeping scenes but i liked its heart and its spirit	0
makes one thing abundantly clear american musical comedy as we know it would n't exist without the precedent of yiddish theater , whose jolly , fun for fun 's sake communal spirit goes to the essence of broadway	0
they all dream about finding their prince charming , and all too often settle for the frog	1
jackson and co have brought back the value and respect for the term epic cinema	0
the most audacious , outrageous , sexually explicit , psychologically probing , pure libido film of the year has arrived from portugal	0
when their less than stunning female forms earn them an invite to a dog catcher party at their old frat , they decide to brave the harassment so they can grab the rest of their belongings from the house and make a clean break	1
haris seems to be an all american guy except that he creates strange installations of hanging ropes , and suffers from terrible visions of himself as a child in afghanistan in traditional dress , of smoke and bombs , of his dead parents and the russian soldier who shot them during the soviet invasion	1
it throws quirky characters , odd situations , and off kilter dialogue at us , all as if to say , look at this ! this is an interesting movie ! but the film itself is ultimately quite unengaging	0
cathy \( julianne moore \) is the perfect 50s housewife , living the perfect 50s life healthy kids , successful husband , social prominence	1
monte cristo smartly emphasizes the well wrought story and omits needless chase scenes and swordfights as the revenge unfolds	0
this is presumably a somewhat true story , as charlie kaufman is the real life screenwriter of adaptation	1
